,label,weight0_0,weight1_0,weight2_0,weight3_0,weight0_1,weight1_1,weight2_1,weight3_1,weight0_2,weight1_2,weight2_2,weight3_2,weight0_3,weight1_3,weight2_3,weight3_3
40,7,0.0,0.0,0.0,0.0,56.0,22.0,41.0,47.0,42.0,40.0,58.0,0.0,0.0,0.0,11.0,0.0
41,7,0.0,0.0,0.0,0.0,48.0,16.0,26.0,37.0,53.0,46.0,41.0,0.0,0.0,0.0,7.0,0.0
42,2,0.0,0.0,0.0,0.0,46.0,7.0,21.0,51.0,43.0,36.0,22.0,53.0,0.0,0.0,0.0,17.0
43,8,0.0,0.0,0.0,0.0,50.0,51.0,46.0,42.0,44.0,45.0,43.0,40.0,0.0,0.0,0.0,0.0
44,7,0.0,0.0,0.0,0.0,37.0,25.0,34.0,44.0,56.0,56.0,30.0,0.0,16.0,6.0,0.0,0.0
45,7,0.0,0.0,0.0,0.0,46.0,21.0,45.0,32.0,41.0,38.0,52.0,0.0,10.0,0.0,0.0,0.0
46,5,0.0,19.0,8.0,0.0,59.0,55.0,39.0,41.0,57.0,11.0,28.0,7.0,24.0,0.0,0.0,0.0
47,9,0.0,11.0,0.0,0.0,36.0,49.0,11.0,24.0,52.0,55.0,38.0,23.0,15.0,16.0,0.0,0.0
48,7,0.0,0.0,0.0,0.0,42.0,8.0,6.0,31.0,61.0,56.0,39.0,9.0,15.0,20.0,0.0,0.0
49,7,0.0,0.0,0.0,0.0,53.0,12.0,43.0,40.0,58.0,59.0,50.0,10.0,0.0,0.0,10.0,0.0
50,7,0.0,0.0,0.0,0.0,54.0,8.0,22.0,35.0,59.0,58.0,57.0,17.0,0.0,12.0,6.0,0.0
51,0,0.0,9.0,10.0,0.0,29.0,28.0,37.0,57.0,46.0,36.0,35.0,48.0,0.0,13.0,15.0,0.0
52,7,0.0,0.0,0.0,0.0,44.0,6.0,33.0,37.0,56.0,45.0,33.0,0.0,22.0,8.0,0.0,0.0
53,7,0.0,0.0,0.0,0.0,52.0,9.0,45.0,51.0,58.0,50.0,31.0,0.0,27.0,6.0,6.0,0.0
54,7,0.0,0.0,0.0,0.0,43.0,13.0,34.0,36.0,61.0,53.0,40.0,6.0,10.0,16.0,0.0,0.0
55,7,0.0,0.0,0.0,0.0,52.0,37.0,24.0,33.0,58.0,64.0,48.0,16.0,0.0,18.0,0.0,0.0
56,7,6.0,0.0,11.0,0.0,52.0,8.0,57.0,37.0,61.0,50.0,45.0,14.0,12.0,0.0,12.0,0.0
57,7,0.0,0.0,0.0,0.0,52.0,10.0,30.0,47.0,54.0,47.0,51.0,7.0,29.0,14.0,12.0,0.0
58,7,0.0,0.0,0.0,0.0,34.0,17.0,30.0,39.0,55.0,42.0,43.0,11.0,24.0,16.0,0.0,0.0
59,9,0.0,0.0,0.0,0.0,44.0,59.0,10.0,24.0,51.0,54.0,41.0,26.0,0.0,0.0,10.0,0.0
60,7,10.0,0.0,0.0,0.0,56.0,0.0,25.0,59.0,62.0,51.0,27.0,0.0,28.0,0.0,0.0,0.0
61,8,0.0,0.0,0.0,0.0,49.0,22.0,34.0,47.0,42.0,57.0,52.0,50.0,0.0,0.0,0.0,10.0
62,1,0.0,11.0,0.0,0.0,10.0,49.0,7.0,0.0,53.0,53.0,44.0,51.0,0.0,0.0,0.0,0.0
63,7,9.0,8.0,0.0,0.0,60.0,18.0,28.0,58.0,59.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0
64,7,0.0,0.0,10.0,0.0,34.0,0.0,49.0,35.0,43.0,35.0,44.0,9.0,20.0,0.0,0.0,0.0
65,8,0.0,10.0,0.0,0.0,49.0,64.0,55.0,42.0,64.0,42.0,36.0,46.0,13.0,0.0,0.0,0.0
66,5,0.0,9.0,0.0,0.0,47.0,56.0,9.0,36.0,48.0,24.0,32.0,28.0,9.0,0.0,0.0,0.0
67,0,0.0,0.0,0.0,0.0,36.0,28.0,34.0,38.0,46.0,29.0,25.0,45.0,0.0,8.0,13.0,0.0
68,7,0.0,0.0,0.0,0.0,38.0,18.0,25.0,19.0,60.0,31.0,59.0,33.0,22.0,29.0,11.0,0.0
69,8,0.0,9.0,0.0,0.0,46.0,57.0,61.0,48.0,47.0,47.0,12.0,20.0,11.0,0.0,0.0,0.0
70,8,0.0,0.0,15.0,0.0,30.0,49.0,64.0,36.0,54.0,41.0,37.0,56.0,16.0,7.0,0.0,0.0
71,2,0.0,8.0,0.0,0.0,59.0,41.0,46.0,59.0,25.0,35.0,20.0,64.0,0.0,0.0,0.0,30.0
72,7,0.0,0.0,0.0,0.0,44.0,17.0,41.0,41.0,58.0,50.0,40.0,0.0,14.0,0.0,6.0,0.0
73,9,0.0,8.0,0.0,0.0,37.0,63.0,7.0,24.0,64.0,64.0,52.0,33.0,16.0,20.0,0.0,0.0
74,0,0.0,0.0,9.0,0.0,47.0,32.0,16.0,39.0,42.0,0.0,17.0,32.0,8.0,16.0,7.0,0.0
75,2,0.0,0.0,0.0,0.0,46.0,6.0,35.0,55.0,35.0,30.0,18.0,36.0,0.0,0.0,0.0,6.0
76,7,0.0,10.0,0.0,0.0,50.0,31.0,41.0,40.0,58.0,54.0,45.0,0.0,0.0,7.0,8.0,0.0
77,9,0.0,13.0,0.0,0.0,39.0,49.0,25.0,10.0,52.0,33.0,55.0,33.0,25.0,20.0,0.0,0.0
78,0,0.0,0.0,8.0,0.0,56.0,52.0,40.0,52.0,34.0,35.0,33.0,55.0,0.0,0.0,10.0,0.0
79,7,0.0,8.0,0.0,0.0,42.0,11.0,29.0,34.0,50.0,41.0,46.0,9.0,0.0,0.0,9.0,0.0
80,7,0.0,0.0,0.0,0.0,22.0,0.0,15.0,21.0,47.0,26.0,51.0,20.0,25.0,21.0,8.0,0.0
81,9,0.0,9.0,0.0,0.0,53.0,43.0,0.0,52.0,39.0,60.0,33.0,43.0,0.0,0.0,11.0,10.0
82,4,0.0,0.0,12.0,0.0,0.0,38.0,62.0,0.0,52.0,28.0,57.0,53.0,0.0,0.0,15.0,0.0
83,0,0.0,9.0,10.0,0.0,39.0,27.0,27.0,52.0,44.0,20.0,28.0,39.0,0.0,12.0,11.0,0.0
84,7,0.0,0.0,0.0,0.0,41.0,0.0,44.0,43.0,60.0,47.0,43.0,0.0,26.0,9.0,8.0,0.0
85,9,0.0,0.0,0.0,0.0,30.0,49.0,0.0,42.0,50.0,54.0,34.0,42.0,9.0,7.0,0.0,0.0
86,4,0.0,7.0,12.0,0.0,33.0,41.0,49.0,19.0,17.0,0.0,53.0,31.0,0.0,6.0,9.0,0.0
87,3,0.0,0.0,0.0,0.0,53.0,24.0,19.0,45.0,59.0,45.0,55.0,49.0,0.0,0.0,6.0,0.0
88,7,0.0,0.0,0.0,0.0,36.0,0.0,44.0,35.0,56.0,46.0,53.0,7.0,19.0,0.0,11.0,0.0
89,9,0.0,0.0,0.0,0.0,51.0,42.0,0.0,48.0,28.0,58.0,27.0,52.0,0.0,0.0,11.0,17.0
90,6,0.0,0.0,0.0,0.0,31.0,46.0,55.0,28.0,20.0,0.0,43.0,47.0,0.0,0.0,0.0,6.0
91,7,0.0,0.0,0.0,0.0,35.0,0.0,49.0,34.0,58.0,35.0,55.0,9.0,10.0,0.0,0.0,0.0
92,7,0.0,0.0,0.0,0.0,50.0,0.0,33.0,42.0,64.0,46.0,49.0,0.0,17.0,7.0,11.0,0.0
93,9,0.0,0.0,0.0,0.0,43.0,43.0,0.0,37.0,31.0,46.0,27.0,44.0,0.0,0.0,6.0,0.0
94,9,0.0,0.0,0.0,0.0,56.0,35.0,0.0,27.0,47.0,53.0,21.0,47.0,0.0,8.0,11.0,6.0
95,2,7.0,6.0,0.0,0.0,56.0,21.0,36.0,61.0,30.0,29.0,17.0,60.0,0.0,0.0,0.0,9.0
96,8,0.0,0.0,0.0,0.0,52.0,48.0,62.0,56.0,47.0,30.0,9.0,6.0,0.0,0.0,0.0,0.0
97,0,0.0,10.0,0.0,0.0,50.0,55.0,29.0,38.0,19.0,39.0,14.0,59.0,0.0,0.0,24.0,25.0
98,1,0.0,0.0,0.0,0.0,50.0,53.0,60.0,52.0,39.0,36.0,32.0,33.0,0.0,0.0,0.0,0.0
99,1,0.0,0.0,0.0,0.0,34.0,38.0,49.0,30.0,49.0,64.0,62.0,47.0,0.0,7.0,0.0,0.0
100,8,0.0,0.0,0.0,0.0,47.0,53.0,46.0,47.0,47.0,51.0,44.0,45.0,0.0,0.0,10.0,0.0
101,0,0.0,7.0,6.0,0.0,40.0,37.0,26.0,37.0,28.0,17.0,8.0,50.0,0.0,6.0,19.0,14.0
102,1,0.0,0.0,0.0,0.0,32.0,40.0,48.0,37.0,33.0,29.0,24.0,35.0,0.0,0.0,0.0,0.0
103,4,0.0,12.0,0.0,0.0,42.0,48.0,36.0,32.0,12.0,35.0,44.0,20.0,0.0,26.0,0.0,0.0
104,8,0.0,0.0,0.0,0.0,48.0,59.0,48.0,44.0,46.0,52.0,47.0,58.0,0.0,0.0,0.0,0.0
105,0,0.0,6.0,9.0,0.0,46.0,34.0,35.0,44.0,35.0,31.0,23.0,48.0,0.0,11.0,15.0,0.0
106,3,0.0,0.0,0.0,0.0,44.0,0.0,0.0,36.0,41.0,42.0,35.0,45.0,0.0,0.0,18.0,13.0
107,8,0.0,0.0,0.0,0.0,62.0,54.0,50.0,48.0,45.0,48.0,41.0,55.0,0.0,0.0,0.0,0.0
108,8,0.0,8.0,0.0,0.0,39.0,38.0,43.0,39.0,43.0,39.0,41.0,44.0,0.0,0.0,6.0,8.0
109,0,0.0,16.0,12.0,0.0,55.0,38.0,25.0,54.0,34.0,32.0,24.0,50.0,0.0,11.0,10.0,0.0
110,5,0.0,0.0,0.0,0.0,48.0,51.0,0.0,47.0,36.0,32.0,32.0,38.0,0.0,0.0,6.0,0.0
111,9,0.0,0.0,0.0,0.0,48.0,40.0,0.0,46.0,36.0,57.0,14.0,40.0,0.0,6.0,20.0,30.0
112,8,0.0,9.0,0.0,0.0,37.0,39.0,34.0,30.0,46.0,34.0,28.0,42.0,0.0,0.0,0.0,0.0
113,0,0.0,6.0,10.0,0.0,40.0,31.0,18.0,36.0,47.0,27.0,25.0,50.0,0.0,10.0,13.0,0.0
114,6,0.0,0.0,0.0,0.0,28.0,38.0,55.0,26.0,23.0,0.0,38.0,49.0,0.0,0.0,0.0,12.0
115,0,0.0,0.0,0.0,0.0,16.0,40.0,52.0,18.0,48.0,37.0,55.0,51.0,0.0,8.0,0.0,0.0
116,8,0.0,0.0,0.0,0.0,45.0,51.0,45.0,54.0,26.0,42.0,47.0,48.0,0.0,0.0,0.0,0.0
117,0,0.0,6.0,10.0,0.0,42.0,36.0,28.0,42.0,26.0,32.0,17.0,51.0,0.0,11.0,15.0,0.0
118,6,0.0,0.0,0.0,0.0,33.0,46.0,58.0,32.0,18.0,0.0,34.0,40.0,0.0,0.0,7.0,6.0
119,4,0.0,0.0,14.0,0.0,18.0,32.0,56.0,16.0,26.0,29.0,54.0,43.0,0.0,13.0,0.0,0.0
120,8,0.0,0.0,0.0,0.0,28.0,41.0,41.0,42.0,35.0,43.0,32.0,50.0,0.0,0.0,0.0,0.0
121,0,0.0,16.0,8.0,0.0,48.0,40.0,30.0,38.0,31.0,29.0,17.0,50.0,0.0,7.0,18.0,6.0
122,7,8.0,0.0,0.0,0.0,55.0,22.0,60.0,51.0,49.0,52.0,39.0,0.0,0.0,0.0,13.0,0.0
123,6,0.0,6.0,0.0,0.0,35.0,52.0,35.0,27.0,27.0,13.0,32.0,44.0,0.0,0.0,14.0,11.0
124,8,0.0,10.0,0.0,0.0,44.0,49.0,50.0,48.0,43.0,47.0,35.0,47.0,6.0,6.0,7.0,6.0
125,1,0.0,19.0,0.0,0.0,11.0,56.0,21.0,6.0,52.0,43.0,40.0,45.0,0.0,0.0,0.0,0.0
126,5,0.0,0.0,0.0,0.0,60.0,47.0,31.0,59.0,38.0,6.0,16.0,19.0,0.0,0.0,0.0,0.0
127,9,0.0,12.0,0.0,0.0,31.0,46.0,28.0,17.0,51.0,42.0,56.0,31.0,17.0,21.0,6.0,0.0
128,8,0.0,9.0,0.0,0.0,46.0,56.0,52.0,58.0,26.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1,0.0,0.0,0.0,0.0,50.0,54.0,57.0,50.0,52.0,45.0,53.0,41.0,0.0,0.0,0.0,0.0
130,8,0.0,0.0,0.0,0.0,56.0,61.0,53.0,50.0,27.0,60.0,39.0,58.0,0.0,0.0,0.0,0.0
131,2,0.0,0.0,0.0,0.0,45.0,16.0,29.0,43.0,26.0,31.0,13.0,42.0,0.0,0.0,0.0,7.0
132,8,0.0,6.0,0.0,0.0,46.0,48.0,44.0,50.0,52.0,40.0,36.0,55.0,9.0,10.0,0.0,0.0
133,2,0.0,8.0,0.0,0.0,62.0,16.0,33.0,62.0,24.0,34.0,18.0,64.0,0.0,0.0,0.0,16.0
134,0,0.0,9.0,10.0,0.0,49.0,51.0,19.0,47.0,40.0,15.0,14.0,53.0,0.0,13.0,16.0,0.0
135,3,0.0,0.0,0.0,0.0,40.0,11.0,0.0,31.0,55.0,45.0,43.0,50.0,0.0,0.0,0.0,0.0
136,8,0.0,9.0,0.0,0.0,39.0,35.0,47.0,36.0,42.0,33.0,18.0,43.0,7.0,0.0,0.0,0.0
137,2,9.0,0.0,0.0,0.0,64.0,26.0,41.0,63.0,12.0,31.0,17.0,64.0,0.0,0.0,0.0,29.0
138,0,0.0,12.0,10.0,0.0,50.0,31.0,28.0,47.0,34.0,29.0,25.0,45.0,0.0,9.0,18.0,0.0
139,4,0.0,0.0,6.0,0.0,16.0,41.0,45.0,0.0,27.0,25.0,57.0,31.0,0.0,9.0,6.0,0.0
140,8,0.0,0.0,0.0,0.0,40.0,49.0,48.0,33.0,18.0,41.0,24.0,34.0,0.0,8.0,0.0,0.0
141,2,10.0,14.0,0.0,0.0,62.0,12.0,17.0,61.0,24.0,47.0,31.0,56.0,0.0,0.0,0.0,21.0
142,0,0.0,11.0,9.0,0.0,56.0,30.0,35.0,53.0,45.0,30.0,43.0,48.0,0.0,7.0,17.0,0.0
143,5,0.0,10.0,0.0,0.0,47.0,54.0,8.0,35.0,45.0,24.0,34.0,53.0,0.0,0.0,15.0,0.0
144,8,0.0,0.0,7.0,0.0,40.0,46.0,28.0,32.0,44.0,28.0,27.0,36.0,0.0,0.0,0.0,10.0
145,2,0.0,0.0,0.0,7.0,54.0,17.0,49.0,53.0,49.0,49.0,10.0,40.0,0.0,0.0,0.0,23.0
146,6,0.0,0.0,0.0,0.0,31.0,47.0,52.0,27.0,24.0,0.0,48.0,47.0,0.0,0.0,7.0,35.0
147,6,0.0,0.0,0.0,0.0,23.0,45.0,56.0,27.0,45.0,12.0,50.0,64.0,0.0,0.0,25.0,35.0
148,8,0.0,9.0,0.0,0.0,38.0,57.0,55.0,36.0,54.0,47.0,23.0,32.0,17.0,9.0,0.0,0.0
149,2,0.0,18.0,0.0,0.0,58.0,43.0,33.0,49.0,11.0,21.0,8.0,48.0,0.0,0.0,0.0,10.0
150,8,0.0,0.0,0.0,0.0,49.0,50.0,47.0,46.0,47.0,42.0,44.0,48.0,0.0,11.0,0.0,0.0
151,0,0.0,15.0,12.0,0.0,49.0,39.0,40.0,49.0,46.0,21.0,24.0,59.0,0.0,10.0,18.0,6.0
152,8,0.0,0.0,0.0,0.0,55.0,53.0,51.0,53.0,27.0,42.0,48.0,54.0,0.0,0.0,8.0,18.0
153,3,7.0,0.0,0.0,0.0,55.0,19.0,15.0,44.0,35.0,39.0,48.0,48.0,0.0,0.0,8.0,12.0
154,4,0.0,0.0,15.0,0.0,7.0,48.0,40.0,0.0,49.0,38.0,58.0,46.0,0.0,11.0,10.0,0.0
155,3,7.0,0.0,0.0,0.0,51.0,24.0,12.0,50.0,47.0,36.0,50.0,52.0,0.0,0.0,7.0,6.0
156,8,8.0,7.0,0.0,7.0,55.0,40.0,49.0,50.0,14.0,19.0,37.0,33.0,0.0,6.0,0.0,0.0
157,3,0.0,0.0,0.0,9.0,56.0,19.0,0.0,46.0,46.0,49.0,36.0,45.0,0.0,0.0,11.0,0.0
158,5,0.0,0.0,0.0,0.0,56.0,62.0,19.0,38.0,49.0,19.0,48.0,56.0,0.0,0.0,0.0,0.0
159,0,0.0,8.0,6.0,0.0,50.0,39.0,38.0,44.0,40.0,36.0,24.0,50.0,0.0,0.0,13.0,0.0
160,8,0.0,0.0,0.0,0.0,50.0,55.0,52.0,54.0,52.0,51.0,43.0,41.0,6.0,12.0,0.0,0.0
161,3,0.0,0.0,0.0,0.0,36.0,19.0,8.0,30.0,55.0,35.0,39.0,43.0,0.0,0.0,0.0,0.0
162,8,8.0,14.0,0.0,0.0,47.0,32.0,54.0,61.0,24.0,11.0,45.0,32.0,0.0,0.0,8.0,0.0
163,4,0.0,7.0,12.0,0.0,35.0,51.0,50.0,25.0,19.0,25.0,54.0,31.0,0.0,10.0,0.0,0.0
164,8,0.0,0.0,0.0,0.0,57.0,48.0,45.0,60.0,47.0,45.0,22.0,12.0,0.0,0.0,0.0,0.0
165,3,6.0,0.0,0.0,12.0,55.0,46.0,0.0,39.0,45.0,47.0,41.0,50.0,0.0,0.0,15.0,10.0
166,8,0.0,0.0,0.0,0.0,45.0,45.0,48.0,53.0,36.0,50.0,29.0,16.0,0.0,0.0,0.0,0.0
167,6,0.0,7.0,0.0,0.0,36.0,41.0,61.0,41.0,0.0,0.0,51.0,60.0,0.0,0.0,9.0,9.0
168,8,0.0,0.0,0.0,0.0,53.0,37.0,41.0,56.0,49.0,39.0,26.0,22.0,0.0,0.0,0.0,0.0
169,3,0.0,0.0,0.0,0.0,43.0,15.0,0.0,33.0,52.0,54.0,41.0,46.0,0.0,0.0,11.0,25.0
170,9,0.0,0.0,0.0,0.0,50.0,31.0,7.0,31.0,14.0,47.0,27.0,45.0,0.0,0.0,15.0,18.0
171,5,0.0,0.0,0.0,0.0,61.0,53.0,0.0,47.0,35.0,17.0,35.0,58.0,0.0,0.0,15.0,19.0
172,8,0.0,0.0,0.0,12.0,39.0,43.0,37.0,43.0,36.0,30.0,41.0,47.0,11.0,0.0,0.0,0.0
173,3,6.0,8.0,0.0,0.0,48.0,13.0,0.0,31.0,58.0,50.0,54.0,32.0,0.0,0.0,0.0,0.0
174,9,0.0,0.0,0.0,0.0,21.0,64.0,18.0,0.0,62.0,63.0,50.0,45.0,21.0,13.0,0.0,0.0
175,8,0.0,0.0,0.0,8.0,36.0,36.0,28.0,41.0,31.0,27.0,36.0,38.0,0.0,0.0,6.0,9.0
176,8,11.0,0.0,0.0,0.0,48.0,37.0,36.0,46.0,48.0,52.0,46.0,52.0,0.0,0.0,0.0,0.0
177,4,0.0,0.0,7.0,0.0,11.0,38.0,44.0,0.0,32.0,21.0,53.0,32.0,0.0,15.0,7.0,0.0
178,2,10.0,8.0,0.0,0.0,54.0,6.0,11.0,52.0,33.0,33.0,40.0,60.0,0.0,0.0,0.0,14.0
179,4,0.0,0.0,22.0,0.0,27.0,33.0,46.0,23.0,12.0,25.0,52.0,18.0,14.0,8.0,0.0,0.0
180,8,0.0,17.0,0.0,0.0,49.0,32.0,59.0,57.0,32.0,48.0,29.0,31.0,0.0,0.0,0.0,0.0
181,4,0.0,0.0,8.0,0.0,27.0,54.0,40.0,20.0,46.0,49.0,51.0,21.0,16.0,15.0,7.0,0.0
182,2,0.0,13.0,0.0,0.0,50.0,15.0,17.0,44.0,33.0,45.0,41.0,46.0,0.0,0.0,0.0,11.0
183,8,0.0,0.0,0.0,0.0,44.0,49.0,48.0,48.0,45.0,42.0,49.0,44.0,0.0,15.0,0.0,0.0
184,8,10.0,14.0,0.0,0.0,42.0,45.0,38.0,42.0,32.0,45.0,15.0,39.0,0.0,0.0,20.0,0.0
185,4,0.0,0.0,26.0,0.0,42.0,52.0,48.0,42.0,14.0,24.0,58.0,24.0,0.0,9.0,0.0,0.0
186,3,7.0,0.0,0.0,6.0,51.0,30.0,10.0,40.0,50.0,41.0,45.0,43.0,0.0,0.0,9.0,0.0
187,2,0.0,0.0,0.0,0.0,56.0,60.0,22.0,58.0,0.0,22.0,16.0,40.0,0.0,0.0,0.0,0.0
188,8,6.0,17.0,0.0,0.0,46.0,37.0,59.0,54.0,56.0,37.0,12.0,35.0,0.0,0.0,0.0,0.0
189,4,0.0,0.0,26.0,0.0,19.0,44.0,52.0,27.0,34.0,9.0,50.0,48.0,0.0,6.0,12.0,0.0
190,8,0.0,0.0,0.0,0.0,43.0,35.0,38.0,45.0,38.0,30.0,32.0,34.0,0.0,0.0,0.0,0.0
191,1,0.0,0.0,0.0,0.0,34.0,58.0,44.0,28.0,44.0,44.0,42.0,64.0,0.0,0.0,0.0,14.0
192,8,10.0,7.0,0.0,0.0,52.0,47.0,53.0,58.0,42.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0
193,4,0.0,10.0,7.0,0.0,35.0,52.0,40.0,26.0,22.0,47.0,43.0,15.0,21.0,26.0,0.0,0.0
194,9,0.0,0.0,0.0,0.0,33.0,45.0,0.0,21.0,36.0,50.0,17.0,41.0,0.0,6.0,13.0,0.0
195,3,0.0,0.0,0.0,0.0,45.0,14.0,17.0,38.0,50.0,33.0,45.0,41.0,0.0,0.0,0.0,0.0
196,8,0.0,0.0,0.0,0.0,47.0,53.0,32.0,48.0,42.0,53.0,47.0,53.0,0.0,9.0,0.0,0.0
197,5,11.0,18.0,0.0,0.0,58.0,47.0,31.0,58.0,55.0,0.0,41.0,42.0,11.0,0.0,0.0,0.0
198,0,0.0,16.0,0.0,0.0,52.0,34.0,38.0,47.0,50.0,20.0,13.0,56.0,0.0,14.0,15.0,0.0
199,3,6.0,9.0,0.0,0.0,43.0,45.0,18.0,44.0,52.0,53.0,24.0,45.0,0.0,0.0,16.0,0.0
200,8,0.0,10.0,0.0,0.0,42.0,22.0,50.0,35.0,39.0,30.0,33.0,39.0,0.0,0.0,0.0,10.0
201,5,0.0,0.0,0.0,0.0,50.0,41.0,9.0,32.0,62.0,23.0,57.0,25.0,39.0,0.0,0.0,0.0
