label,filename,number_of_holes,width,height,aspect_ratio,area,angle,radius,contour,hull_radius,
1,7817,0,20,30,1.5532788269,227.0,-87.7974014282,9.4537340256,39,13.4944026209,
7,7817,0,20,30,1.81818212724,241.5,-71.5650482178,8.80178304433,47,13.336719469,
7,7850,0,22,30,1.51351344604,210.5,-85.6012878418,9.61815211311,55,13.8260064123,
8,7850,0,20,30,1.69291341426,370.0,-81.8698959351,10.5722009246,32,13.3199335611,
5,7850,0,20,30,1.70391071922,221.0,-84.2894058228,10.0583341875,39,13.8916374753,
0,7850,1,19,30,0.620689655172,427.5,90.0,12.207022338,31,12.5096296393,
7,7882,0,22,30,0.732928736499,286.0,72.3498764038,9.73924564866,47,13.0015300174,
8,7882,1,20,30,0.655172413793,337.0,90.0,10.4389774986,50,13.0845007494,
8,7882,1,21,30,1.61363643098,384.5,-81.8698959351,10.8650873295,39,13.8630901702,
2,7882,0,23,30,0.698447936848,317.0,86.1859254837,9.62637125974,50,14.5668566632,
7,7902,0,19,30,0.620689655172,243.0,90.0,10.0124189291,48,14.5116468172,
9,7902,0,21,30,0.689655172414,326.5,90.0,10.8443372531,48,13.0731606751,
0,7902,1,20,30,1.62837843454,438.5,-82.8749847412,12.5290689571,32,13.0617641715,
2,7902,0,19,30,0.620689655172,193.5,90.0,9.57138718729,58,14.8133782828,
7,7907,0,22,30,0.687074806528,346.0,78.6900672913,11.0019611424,48,12.9845020376,
9,7907,1,23,30,1.55172427002,358.5,-74.0546035767,11.5589472046,45,12.5148381152,
0,7907,1,20,30,0.655172413793,422.5,90.0,12.0614031546,30,12.9045960721,
7,7907,0,22,30,0.655896595396,219.0,76.6075019836,9.54747504164,53,13.3248261174,
7,7940,0,17,30,0.551724137931,189.5,90.0,10.0339387219,47,13.9827024915,
9,7940,1,21,30,0.652610469402,329.5,86.6335394382,10.9802237297,42,13.8310424621,
4,7940,0,22,30,1.32178214691,263.5,-57.9946174622,9.71187889326,47,12.871452267,
0,7940,1,20,30,0.655172413793,443.5,90.0,12.124706239,31,12.9489466381,
7,7943,0,19,30,0.620689655172,258.5,90.0,9.69530564605,46,13.8421004302,
9,7943,1,18,30,0.586206896552,286.0,90.0,11.7662299206,48,13.2745661983,
4,7943,0,22,30,0.77777776182,220.0,59.7435588837,9.32196313112,51,12.589437758,
3,7943,0,20,30,0.583892573416,288.5,84.2894067764,10.2393915061,49,14.3443619425,
7,7967,0,18,30,0.586206896552,244.0,90.0,9.25643229426,54,13.097627366,
9,7967,1,20,30,0.655172413793,298.5,90.0,11.0372740077,42,14.0786416146,
6,7967,1,17,30,0.497737509367,259.0,74.054605484,10.6430566858,36,12.7418034116,
7,7967,0,18,30,1.87084880999,219.5,-86.6335449219,9.16157751863,47,13.7274360932,
7,7992,0,19,30,0.620689655172,255.5,90.0,9.29027219171,52,13.29771274,
9,7992,1,18,30,0.562367861413,240.0,86.4236655235,10.062541267,40,12.4813615575,
9,7992,0,19,30,0.588152283108,254.0,87.614055872,10.7627055952,41,14.1675130275,
2,7992,0,20,30,0.55999997739,257.5,83.6598081589,9.90880862983,37,14.6807046177,
8,8011,0,17,30,2.00680277254,262.0,-84.2894058228,9.99533348041,40,13.6433626804,
0,8011,1,22,30,0.640553033771,395.0,81.8698978424,11.1295009964,49,12.9768585234,
1,8011,0,15,30,0.48275862069,298.0,90.0,10.6081615868,38,13.3041593471,
1,8011,0,16,30,0.51724137931,340.5,90.0,11.3408937634,35,13.7921855089,
8,8014,2,19,30,0.620689655172,403.0,90.0,11.4692822966,34,13.8362088827,
0,8014,1,20,30,0.655172413793,435.0,90.0,12.2187853404,38,13.2001314694,
1,8014,0,12,30,0.371681425442,227.5,87.8789036274,10.2512535739,23,12.8540395019,
4,8014,0,23,30,1.40712475062,245.0,-59.5344543457,9.30989734974,58,13.070599276,
8,8038,2,18,30,0.586206896552,408.5,90.0,11.1908027519,34,14.235088274,
0,8038,1,20,30,0.655172413793,432.5,90.0,12.1851208816,32,12.8808797661,
3,8038,0,19,30,0.620689655172,202.5,90.0,10.0387261453,48,14.5268583788,
8,8038,1,18,30,0.586206896552,388.0,90.0,10.6351362313,40,14.6988170503,
8,8059,2,20,30,0.61829028926,408.0,86.6335394382,10.4958500339,42,13.7722253404,
0,8059,1,20,30,0.655172413793,458.0,90.0,12.7699080153,31,13.8272196946,
5,8059,0,18,30,0.586206896552,211.0,90.0,9.95279914611,52,14.4993656287,
9,8059,1,20,30,0.655172413793,275.5,90.0,10.3173663748,45,13.9248579551,
8,8060,2,18,30,0.586206896552,318.5,90.0,9.60481740031,40,13.4738430258,
0,8060,1,20,30,0.655172413793,431.5,90.0,12.254823639,33,12.5797446514,
6,8060,1,18,30,0.521802240853,244.5,77.195734024,9.99584606955,49,13.024548781,
0,8060,1,18,30,0.586206896552,348.5,90.0,11.5560532039,28,11.9301842781,
8,8064,2,18,30,0.586206896552,357.5,90.0,10.76521546,46,14.1216429579,
0,8064,1,20,30,0.655172413793,426.0,90.0,12.1847233039,38,12.5145119765,
6,8064,1,18,30,0.536977534271,270.5,73.3007564545,10.7348209596,44,12.2999556059,
4,8064,0,22,30,1.54748611443,238.0,-66.0375137329,9.18470287755,59,13.2860002165,
8,8076,2,19,30,0.586642608855,334.0,86.9872126579,10.9869434497,42,13.7891986952,
0,8076,1,21,30,0.689655172414,443.0,90.0,12.1943228443,33,12.9095564039,
7,8076,0,21,30,0.655263173567,285.5,85.6012945175,9.8159279195,47,13.4154800069,
6,8076,1,21,30,0.600924479972,316.0,76.6075048447,10.6445370602,51,12.6210556802,
8,8159,2,20,30,0.655172413793,457.0,90.0,12.2681147174,33,14.145128468,
1,8159,0,19,30,0.620689655172,243.0,90.0,9.84646641783,38,13.5648798233,
5,8159,0,20,30,1.60732991163,227.0,-87.27368927,9.48643286994,49,13.9755305706,
9,8159,1,22,30,1.5709343154,356.5,-61.6992454529,11.0497425489,42,12.904329674,
8,8182,1,19,30,1.75897431201,262.0,-70.0168914795,9.66770426135,47,12.5907911155,
1,8182,0,16,30,0.51724137931,351.5,90.0,12.1792166958,35,14.5481558687,
8,8182,0,17,30,0.551724137931,354.0,90.0,10.8510119006,37,13.6193961567,
2,8182,0,19,30,0.50865050761,187.5,81.0273733139,9.44179339383,54,13.70926908,
8,8203,1,21,30,0.689655172414,393.0,90.0,10.8475627916,49,13.8128224797,
2,8203,0,20,30,0.571183546742,263.0,83.9909939766,9.13667427371,49,14.46328276,
0,8203,1,20,30,0.655172413793,459.0,90.0,12.5470113309,29,13.5268700877,
3,8203,0,18,30,0.586206896552,211.0,90.0,9.64222874109,53,14.7724472088,
8,8204,1,20,30,1.66318540083,315.0,-79.2156982422,10.7701814384,38,13.0754788511,
2,8204,0,22,30,0.724137931034,289.5,90.0,10.366422644,38,15.2638380275,
0,8204,1,21,30,0.689655172414,447.5,90.0,12.4509611085,35,13.0956975126,
4,8204,0,20,30,0.872340474186,210.5,53.9726295471,9.60461150984,54,11.8252069995,
8,8205,1,19,30,0.620689655172,253.5,90.0,9.64279730509,39,13.2235630351,
2,8205,0,24,30,0.668549994187,275.5,83.2901630402,9.83384218704,49,14.813903702,
0,8205,1,21,30,0.689655172414,447.5,90.0,12.1763211307,39,13.0581543128,
5,8205,0,20,30,0.655172413793,249.5,90.0,10.4953386306,51,13.6288284704,
8,8266,2,19,30,0.620689655172,356.5,90.0,10.4954638927,34,13.9421222223,
2,8266,0,22,30,0.724137931034,267.5,90.0,10.2364073599,45,14.8765905181,
6,8266,1,20,30,0.527999942372,280.5,70.0168933868,9.84454386817,43,14.0137746271,
6,8266,0,22,30,0.617322863571,319.5,69.775138855,11.5691592216,41,13.4488375353,
8,8280,1,21,30,1.67241370883,339.5,-71.5650482178,9.97932298653,37,13.6257254718,
2,8280,0,22,30,0.551515179056,234.0,68.1985931396,9.77257945482,58,13.6782577003,
8,8280,1,20,30,0.655172413793,339.5,90.0,10.7262274645,52,13.9714230715,
0,8280,1,22,30,0.662962937138,463.5,83.6598081589,12.3943540334,41,13.1647069365,
8,8343,1,20,30,0.655172413793,376.0,90.0,11.1725960537,41,13.9000484113,
3,8343,0,21,30,0.651771915071,254.0,87.3974378109,9.93940598841,50,14.6335691638,
4,8343,0,22,30,1.24501417443,261.5,-52.4314117432,9.27531572409,47,12.8373390384,
3,8343,0,20,30,0.621768703861,269.5,87.709389925,10.4127171817,50,14.6422697511,
8,8350,0,20,30,0.655172413793,274.0,90.0,9.75891826303,50,13.6508266399,
3,8350,0,20,30,0.655172413793,244.0,90.0,10.33831796,52,14.1220871537,
5,8350,0,17,30,0.527204479394,276.0,86.8201699257,9.82216512399,43,13.2836409344,
0,8350,1,20,30,0.622395853234,421.0,85.6012949944,11.7423926527,37,12.8037181055,
8,8384,1,20,30,0.640151498131,378.0,86.8201699257,11.2564379209,44,13.6760394816,
3,8384,0,18,30,0.586206896552,201.0,90.0,10.1579793575,51,14.8557781581,
8,8384,0,22,30,0.677799608333,273.0,83.290163517,9.681234037,57,13.6116481178,
4,8384,0,22,30,1.53658551555,262.0,-63.4349517822,9.24131573865,54,12.2978191606,
8,8386,1,17,30,0.551724137931,301.0,90.0,10.6362365501,43,13.6038441373,
3,8386,0,22,30,0.724137931034,306.5,90.0,11.1796980858,53,14.8175538389,
8,8386,0,17,30,0.548913038833,286.5,86.9872126579,10.2022601042,38,12.8557217428,
6,8386,0,21,30,0.563609474959,268.5,57.7243537903,10.8383749843,41,12.4470629535,
8,8395,0,16,30,0.51724137931,286.5,90.0,10.0335537787,35,14.1463848885,
3,8395,0,20,30,0.655172413793,242.5,90.0,10.4704909426,47,14.8918317981,
9,8395,1,21,30,0.645070405448,257.5,87.6140561104,10.6619225573,51,13.9313724889,
5,8395,0,21,30,0.645522368192,272.5,86.8201699257,9.826244091,57,14.5808605264,
8,8398,2,22,30,1.56857839748,400.0,-84.5596694946,10.5907622533,43,15.1434013789,
3,8398,0,20,30,0.655172413793,249.5,90.0,10.4589540135,53,14.1611660087,
9,8398,0,20,30,1.65243876367,308.0,-83.6598129272,10.3886807749,36,12.3199572496,
8,8398,2,20,30,0.655172413793,367.5,90.0,11.2650815424,45,14.3105057259,
8,8424,1,20,30,0.655172413793,359.5,90.0,11.0458852798,34,14.0715264361,
4,8424,0,21,30,1.33476393692,202.0,-55.0079803467,8.8944549222,60,12.0511874225,
2,8424,0,22,30,0.570512805726,248.5,78.6900672913,10.7110991833,46,14.7984668428,
4,8424,0,23,30,1.57399099385,219.5,-65.5560455322,9.8788231698,68,13.1632849504,
8,8428,1,20,30,1.60815050459,359.0,-76.7594833374,10.8490817478,46,13.3230313022,
4,8428,1,23,30,1.55483888505,322.5,-60.255115509,10.696681149,47,13.2347950256,
2,8428,0,22,30,0.600382418445,251.0,73.610458374,9.64965645163,47,13.7385727733,
8,8428,1,20,30,0.655172413793,374.0,90.0,11.6883584329,35,13.5523086912,
8,8432,2,23,30,0.651933772485,436.5,80.5376777649,12.0719200523,41,13.9092650861,
4,8432,0,23,30,1.51428578695,286.0,-68.1985931396,9.37754191051,59,12.8730755594,
3,8432,0,20,30,0.655172413793,257.5,90.0,9.97519252977,52,14.6341723455,
2,8432,0,20,30,0.621067044681,225.5,87.709389925,10.1469382642,43,14.1661081164,
8,8481,1,21,30,1.57142855716,337.5,-82.8749847412,11.1105422075,40,14.3343815032,
4,8481,0,24,30,1.49789023196,268.0,-61.389541626,9.39707639082,64,13.2080256215,
8,8481,1,17,30,0.551724137931,304.0,90.0,9.69489086369,43,13.7472939121,
1,8481,0,20,30,0.577548000642,314.0,82.2348337173,10.3983421102,36,13.6652354702,
8,8493,1,19,30,0.620689655172,291.5,90.0,10.5767497985,39,13.264103664,
4,8493,0,22,30,1.59890114671,284.5,-57.9946174622,9.99037318208,60,12.7957000808,
9,8493,1,19,30,0.57246371292,236.0,74.4758882523,10.2679696079,47,12.467553727,
3,8493,0,18,30,0.586206896552,211.5,90.0,10.7553474781,54,15.2268550895,
8,8503,1,20,30,0.655172413793,370.5,90.0,10.346094622,41,13.5281654041,
5,8503,0,22,30,0.724137931034,298.0,90.0,9.86116314993,42,14.2146598266,
0,8503,1,20,30,0.655172413793,466.5,90.0,12.5927850959,28,13.1869375527,
3,8503,1,21,30,0.62777781287,312.5,80.5376777649,10.777310343,56,13.7149528048,
8,8512,2,21,30,0.602409637793,370.0,81.0273742676,10.9108956964,38,13.6045444164,
5,8512,0,23,30,0.758620689655,266.5,90.0,10.6264555152,43,14.9241793217,
1,8512,0,20,30,0.625609727089,257.0,87.9545915127,10.9552337116,30,13.7103094971,
2,8512,0,18,30,0.515044237971,203.5,83.9909944534,9.26905157681,45,14.1179689456,
8,8521,1,20,30,0.655172413793,402.5,90.0,11.5291442192,39,13.368244827,
5,8521,0,22,30,0.724137931034,267.5,90.0,10.0703165894,53,14.1449072836,
2,8521,0,22,30,0.618705020774,279.0,83.6598081589,10.1272336596,39,14.7082437304,
1,8521,0,20,30,0.605504584792,257.5,84.8055710793,11.1738463589,25,13.8025767897,
8,8530,1,18,30,0.586206896552,405.0,90.0,11.2233869725,34,13.8100746499,
5,8530,0,19,30,0.620689655172,256.5,90.0,10.14241263,51,14.1530278047,
3,8530,0,21,30,0.647435858302,221.5,87.2736890316,10.0774128263,52,14.9485989656,
0,8530,1,20,30,0.646153864324,406.0,63.4349498749,11.5919690497,43,12.6647878806,
8,8532,2,20,30,0.655172413793,397.0,90.0,10.9435001477,46,14.6255570944,
5,8532,0,16,30,0.51724137931,276.0,90.0,8.9421785129,42,13.6538184945,
3,8532,0,22,30,0.655571570571,225.0,85.0302591324,10.1407942936,49,14.6451386557,
2,8532,0,23,30,0.607329904947,256.5,80.5376777649,9.62416514784,48,14.9372568019,
8,8542,2,20,30,0.655172413793,455.0,90.0,11.8373535431,42,13.9846464531,
5,8542,0,23,30,1.81194690084,239.5,-70.8209991455,10.4738642096,43,14.0359496303,
4,8542,0,24,30,1.36956535042,296.5,-63.4349517822,9.56667947332,56,12.8244756116,
2,8542,0,22,30,0.724137931034,270.5,90.0,10.6625132827,40,15.1657322842,
8,8543,1,20,30,0.617996660013,294.0,87.1375946999,10.0074546604,48,13.7598303385,
5,8543,0,20,30,0.655172413793,275.0,90.0,10.5527440956,45,13.5502045406,
4,8543,0,23,30,1.41428570306,279.0,-56.309928894,9.5545436506,55,12.6063179464,
3,8543,0,21,30,0.689655172414,251.0,90.0,10.6007255404,43,14.3899229107,
8,8571,2,20,30,0.615979370706,430.5,85.6012949944,12.3889687083,31,13.8474056455,
5,8571,0,21,30,0.689655172414,243.5,90.0,9.28947977721,46,13.877416866,
7,8571,0,22,30,0.724137931034,267.5,90.0,9.87849275668,62,12.9747966774,
1,8571,0,17,30,1.85025370397,252.5,-87.7093887329,10.0298625526,28,13.2935490911,
8,8614,2,20,30,0.598958358316,344.5,72.8972740173,10.678618502,34,12.6304107921,
6,8614,1,22,30,0.585937556159,322.0,75.9637556076,11.5230039504,45,13.2419990039,
1,8614,0,18,30,0.586206896552,299.0,90.0,10.2004047675,32,12.9112580859,
4,8614,0,21,30,1.38749999611,225.0,-57.5288047791,9.09147045087,51,12.564152401,
8,8673,1,20,30,0.655172413793,346.5,90.0,9.45273967773,39,13.467567264,
6,8673,0,17,30,1.90512822148,239.0,-85.4260787964,10.3570583615,34,13.3288245646,
7,8673,0,20,30,0.655172413793,223.5,90.0,9.67699977197,52,12.9756875046,
3,8673,0,21,30,0.689655172414,253.5,90.0,10.818445285,47,14.3171013168,
8,8681,1,20,30,0.655172413793,414.0,90.0,11.5938577552,39,14.3637617863,
6,8681,1,23,30,0.585987303451,329.5,69.7751407623,10.9809551998,44,13.5255328566,
8,8681,1,19,30,1.66857137806,291.0,-87.1375961304,10.2324680807,50,13.7741978532,
1,8681,0,20,30,0.655172413793,341.0,90.0,10.9647200998,33,13.2593624034,
8,8763,2,18,30,0.586206896552,329.0,90.0,10.8129815952,44,13.9501213152,
7,8763,0,20,30,0.655172413793,255.5,90.0,9.75743744492,58,14.9617332236,
6,8763,1,19,30,0.620689655172,302.5,90.0,10.7213195213,39,12.4863678269,
3,8763,0,22,30,0.60839159844,229.5,82.568590641,10.5942683491,60,14.3643704395,
8,8781,2,22,30,0.651515109922,418.0,84.8055706024,10.7964595386,43,14.4139778612,
7,8781,0,21,30,1.58232946006,218.0,-85.6012878418,9.74768691405,57,13.5764096684,
8,8781,2,19,30,0.620689655172,398.0,90.0,11.3076277915,40,13.9722962228,
1,8781,0,19,30,0.559701533418,261.5,83.6598086357,9.95972802118,43,13.160187776,
8,8789,1,21,30,0.642857101427,399.0,86.6335394382,10.5466052309,41,13.8859950425,
7,8789,0,22,30,1.59999994102,204.5,-75.963760376,9.73107745275,50,14.0569846705,
8,8789,2,19,30,0.599999974009,361.0,84.2894067764,11.1010922998,42,13.8230484396,
9,8789,0,19,30,0.589743564974,249.0,87.709389925,10.1660386855,39,14.0248781196,
8,8818,2,21,30,0.599999987196,441.5,79.3803443909,11.8637543002,38,13.8382165005,
8,8818,1,20,30,0.655172413793,370.5,90.0,10.3046541884,33,13.2738194639,
1,8818,0,17,30,0.519823798374,249.0,85.0302591324,9.86833526254,46,12.7494185206,
8,8818,1,20,30,0.560439599477,342.5,82.4053564072,9.73806081264,42,14.0761304421,
8,8822,1,18,30,0.571207408901,322.0,87.3974378109,10.9416990721,43,13.0299193191,
8,8822,0,20,30,0.612847201907,291.0,78.1113424301,9.90718899172,55,13.6061988031,
2,8822,0,22,30,0.666666687985,239.5,87.2736890316,11.0966697032,48,14.5320412839,
2,8822,0,18,30,0.586206896552,253.5,90.0,10.2479548454,40,14.7812688087,
8,8848,1,20,30,0.655172413793,419.0,90.0,11.5443099892,37,14.4248635277,
8,8848,2,18,30,0.586206896552,338.0,90.0,10.5931359066,40,13.719355029,
4,8848,0,23,30,1.52802360065,263.5,-60.6422462463,9.12597408523,56,13.3993103518,
8,8848,1,17,30,0.551724137931,337.5,90.0,10.2929912227,43,14.0445500519,
8,8885,1,20,30,0.655172413793,343.5,90.0,10.6468931714,37,13.1222657179,
8,8885,1,22,30,0.724137931034,348.0,90.0,10.7064248406,37,14.3417454716,
8,8885,2,23,30,0.618181905369,364.0,80.1341934204,10.7028830137,48,14.4031618486,
5,8885,0,20,30,0.655172413793,215.5,90.0,9.87308540434,51,13.3728361388,
8,8887,1,20,30,1.60249990628,259.0,-87.3974456787,10.3940676764,41,14.4895409557,
8,8887,1,20,30,1.61917805381,253.5,-87.1375961304,10.3745118262,31,14.0896879669,
8,8887,2,19,30,1.6768059767,359.5,-86.1859207153,10.3551274892,36,13.288089554,
7,8887,0,19,30,1.61111111111,267.0,90.0,9.80109610932,41,13.9464953457,
8,8893,2,20,30,0.655172413793,428.0,90.0,11.8826384505,32,14.1483763006,
8,8893,2,20,30,1.62181808817,433.0,-86.1859207153,11.4024584427,40,13.6050661831,
9,8893,0,20,30,1.65048550454,241.5,-74.7448806763,9.51969773733,46,11.5493597536,
3,8893,0,20,30,0.596465405562,241.5,85.0302591324,9.89035601677,56,14.0846237777,
8,8901,0,20,30,1.79925646758,245.5,-72.6459732056,9.73504708992,44,12.9522611584,
9,8901,1,22,30,0.650273156141,371.0,80.5376787186,11.1357476878,53,13.374205777,
0,8901,1,20,30,0.655172413793,452.0,90.0,12.6339440144,31,13.1091129474,
1,8901,0,18,30,0.586206896552,331.0,90.0,11.1943721129,39,14.5208985711,
8,8907,2,20,30,0.655172413793,429.5,90.0,11.5210632706,45,13.8018530942,
9,8907,1,21,30,0.607535337597,299.0,79.2157020569,10.9394725681,47,12.8383391487,
0,8907,1,20,30,0.655172413793,433.0,90.0,11.8720902218,36,12.7694344626,
7,8907,0,17,30,0.551724137931,214.5,90.0,9.67633450569,55,13.5542818222,
8,8927,0,18,30,0.586206896552,228.5,90.0,9.53337413377,43,13.7307369527,
9,8927,1,20,30,0.655172413793,352.0,90.0,12.4153792185,44,14.0071378,
2,8927,0,21,30,0.651226093731,208.5,87.709389925,9.48532915447,53,14.542378716,
7,8927,0,22,30,0.724137931034,269.0,90.0,9.16628475598,54,14.2229415401,
8,8960,2,19,30,0.563706572524,361.0,73.610458374,11.017248339,33,12.8667921137,
9,8960,1,22,30,0.640759909828,316.0,83.9909939766,11.6429211786,43,13.7808535328,
6,8960,1,22,30,0.594684423533,325.5,66.0375137329,11.5762854186,46,13.4228181785,
0,8960,1,20,30,0.655172413793,458.5,90.0,13.0207419051,31,13.4304916019,
8,8997,0,20,30,1.75000002731,354.5,-75.963760376,10.2157803722,41,13.4059729731,
9,8997,1,21,30,0.633599993946,287.5,79.2157020569,10.52580962,54,12.6515105714,
9,8997,1,20,30,0.655172413793,299.0,90.0,11.9098994679,55,12.8104139855,
7,8997,0,20,30,0.655172413793,272.0,90.0,9.81091680583,44,13.8211892565,
9,9002,1,20,30,0.655172413793,350.0,90.0,11.0430855494,39,12.7220855997,
0,9002,1,19,30,0.620689655172,430.5,90.0,12.3330679585,33,12.6884071964,
0,9002,1,21,30,0.637982192399,418.0,74.7448797226,11.8505459555,37,12.8552397885,
2,9002,0,22,30,0.623395093959,238.5,85.0302591324,10.1009547675,46,14.9502606408,
9,9077,1,21,30,0.634020645318,300.5,85.6012949944,11.7045880094,39,14.0502241835,
0,9077,1,23,30,0.758620689655,512.0,90.0,12.9318613692,31,13.7150696304,
7,9077,0,18,30,0.568601558756,203.0,87.7974019051,8.78982183277,46,13.2544545472,
7,9077,0,22,30,0.724137931034,261.5,90.0,9.42484969001,44,13.843753442,
9,9079,1,20,30,0.628571424868,321.5,86.9872126579,10.4682695079,46,13.0003012927,
0,9079,1,22,30,0.724137931034,503.5,90.0,12.7128815228,32,13.4388048391,
7,9079,0,21,30,1.56000010794,259.5,-86.6335449219,9.35398876446,46,14.0579131578,
9,9079,0,20,30,0.649289107635,312.5,74.0546045303,10.5313865205,46,12.6598723112,
9,9082,0,22,30,1.53508775866,272.5,-59.0362510681,10.1830727323,40,13.8376922092,
0,9082,1,19,30,0.620689655172,388.5,90.0,11.6938343071,36,12.4386678254,
8,9082,2,18,30,1.87898095238,326.0,-84.2894058228,10.1199301361,43,13.3176748713,
2,9082,0,15,30,0.48275862069,224.0,90.0,9.32031741234,38,14.4122016977,
