label,filename,weight0_0,weight1_0,weight2_0,weight3_0,weight0_1,weight1_1,weight2_1,weight3_1,weight0_2,weight1_2,weight2_2,weight3_2,weight0_3,weight1_3,weight2_3,weight3_3,
0,7700,0.0,15.0,7.0,0.0,48.0,17.0,23.0,44.0,53.0,18.0,11.0,56.0,0.0,11.0,15.0,0.0,
7,7707,0.0,0.0,0.0,0.0,29.0,22.0,31.0,46.0,62.0,59.0,27.0,8.0,15.0,14.0,0.0,0.0,
7,7707,0.0,0.0,0.0,0.0,42.0,21.0,52.0,50.0,64.0,55.0,35.0,0.0,20.0,0.0,0.0,0.0,
0,7707,0.0,13.0,8.0,0.0,54.0,9.0,38.0,49.0,50.0,22.0,27.0,61.0,0.0,15.0,16.0,0.0,
7,7707,0.0,0.0,12.0,0.0,39.0,13.0,56.0,36.0,55.0,53.0,43.0,7.0,0.0,0.0,11.0,0.0,
7,7718,0.0,0.0,0.0,0.0,32.0,11.0,53.0,37.0,60.0,53.0,50.0,18.0,11.0,9.0,9.0,0.0,
7,7718,0.0,0.0,0.0,0.0,37.0,0.0,48.0,41.0,60.0,50.0,58.0,7.0,11.0,0.0,10.0,0.0,
1,7718,0.0,0.0,0.0,0.0,39.0,49.0,60.0,37.0,31.0,48.0,48.0,44.0,0.0,0.0,0.0,0.0,
8,7718,0.0,7.0,0.0,0.0,45.0,49.0,41.0,53.0,56.0,46.0,49.0,50.0,13.0,0.0,0.0,6.0,
7,7728,0.0,0.0,0.0,0.0,56.0,22.0,41.0,47.0,42.0,40.0,58.0,0.0,0.0,0.0,11.0,0.0,
7,7728,0.0,0.0,0.0,0.0,48.0,16.0,26.0,37.0,53.0,46.0,41.0,0.0,0.0,0.0,7.0,0.0,
2,7728,0.0,0.0,0.0,0.0,46.0,7.0,21.0,51.0,43.0,36.0,22.0,53.0,0.0,0.0,0.0,17.0,
8,7728,0.0,0.0,0.0,0.0,50.0,51.0,46.0,42.0,44.0,45.0,43.0,40.0,0.0,0.0,0.0,0.0,
7,7759,0.0,0.0,0.0,0.0,37.0,25.0,34.0,44.0,56.0,56.0,30.0,0.0,16.0,6.0,0.0,0.0,
7,7759,0.0,0.0,0.0,0.0,46.0,21.0,45.0,32.0,41.0,38.0,52.0,0.0,10.0,0.0,0.0,0.0,
5,7759,0.0,19.0,8.0,0.0,59.0,55.0,39.0,41.0,57.0,11.0,28.0,7.0,24.0,0.0,0.0,0.0,
9,7759,0.0,11.0,0.0,0.0,36.0,49.0,11.0,24.0,52.0,55.0,38.0,23.0,15.0,16.0,0.0,0.0,
7,7770,0.0,0.0,0.0,0.0,42.0,8.0,6.0,31.0,61.0,56.0,39.0,9.0,15.0,20.0,0.0,0.0,
7,7770,0.0,0.0,0.0,0.0,53.0,12.0,43.0,40.0,58.0,59.0,50.0,10.0,0.0,0.0,10.0,0.0,
7,7770,0.0,0.0,0.0,0.0,54.0,8.0,22.0,35.0,59.0,58.0,57.0,17.0,0.0,12.0,6.0,0.0,
0,7770,0.0,9.0,10.0,0.0,29.0,28.0,37.0,57.0,46.0,36.0,35.0,48.0,0.0,13.0,15.0,0.0,
7,7777,0.0,0.0,0.0,0.0,44.0,6.0,33.0,37.0,56.0,45.0,33.0,0.0,22.0,8.0,0.0,0.0,
7,7777,0.0,0.0,0.0,0.0,52.0,9.0,45.0,51.0,58.0,50.0,31.0,0.0,27.0,6.0,6.0,0.0,
7,7777,0.0,0.0,0.0,0.0,43.0,13.0,34.0,36.0,61.0,53.0,40.0,6.0,10.0,16.0,0.0,0.0,
7,7777,0.0,0.0,0.0,0.0,52.0,37.0,24.0,33.0,58.0,64.0,48.0,16.0,0.0,18.0,0.0,0.0,
7,7779,6.0,0.0,11.0,0.0,52.0,8.0,57.0,37.0,61.0,50.0,45.0,14.0,12.0,0.0,12.0,0.0,
7,7779,0.0,0.0,0.0,0.0,52.0,10.0,30.0,47.0,54.0,47.0,51.0,7.0,29.0,14.0,12.0,0.0,
7,7779,0.0,0.0,0.0,0.0,34.0,17.0,30.0,39.0,55.0,42.0,43.0,11.0,24.0,16.0,0.0,0.0,
9,7779,0.0,0.0,0.0,0.0,44.0,59.0,10.0,24.0,51.0,54.0,41.0,26.0,0.0,0.0,10.0,0.0,
7,7817,10.0,0.0,0.0,0.0,56.0,0.0,25.0,59.0,62.0,51.0,27.0,0.0,28.0,0.0,0.0,0.0,
8,7817,0.0,0.0,0.0,0.0,49.0,22.0,34.0,47.0,42.0,57.0,52.0,50.0,0.0,0.0,0.0,10.0,
1,7817,0.0,11.0,0.0,0.0,10.0,49.0,7.0,0.0,53.0,53.0,44.0,51.0,0.0,0.0,0.0,0.0,
7,7817,9.0,8.0,0.0,0.0,60.0,18.0,28.0,58.0,59.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0,
7,7850,0.0,0.0,10.0,0.0,34.0,0.0,49.0,35.0,43.0,35.0,44.0,9.0,20.0,0.0,0.0,0.0,
8,7850,0.0,10.0,0.0,0.0,49.0,64.0,55.0,42.0,64.0,42.0,36.0,46.0,13.0,0.0,0.0,0.0,
5,7850,0.0,9.0,0.0,0.0,47.0,56.0,9.0,36.0,48.0,24.0,32.0,28.0,9.0,0.0,0.0,0.0,
0,7850,0.0,0.0,0.0,0.0,36.0,28.0,34.0,38.0,46.0,29.0,25.0,45.0,0.0,8.0,13.0,0.0,
7,7882,0.0,0.0,0.0,0.0,38.0,18.0,25.0,19.0,60.0,31.0,59.0,33.0,22.0,29.0,11.0,0.0,
8,7882,0.0,9.0,0.0,0.0,46.0,57.0,61.0,48.0,47.0,47.0,12.0,20.0,11.0,0.0,0.0,0.0,
8,7882,0.0,0.0,15.0,0.0,30.0,49.0,64.0,36.0,54.0,41.0,37.0,56.0,16.0,7.0,0.0,0.0,
2,7882,0.0,8.0,0.0,0.0,59.0,41.0,46.0,59.0,25.0,35.0,20.0,64.0,0.0,0.0,0.0,30.0,
7,7902,0.0,0.0,0.0,0.0,44.0,17.0,41.0,41.0,58.0,50.0,40.0,0.0,14.0,0.0,6.0,0.0,
9,7902,0.0,8.0,0.0,0.0,37.0,63.0,7.0,24.0,64.0,64.0,52.0,33.0,16.0,20.0,0.0,0.0,
0,7902,0.0,0.0,9.0,0.0,47.0,32.0,16.0,39.0,42.0,0.0,17.0,32.0,8.0,16.0,7.0,0.0,
2,7902,0.0,0.0,0.0,0.0,46.0,6.0,35.0,55.0,35.0,30.0,18.0,36.0,0.0,0.0,0.0,6.0,
7,7907,0.0,10.0,0.0,0.0,50.0,31.0,41.0,40.0,58.0,54.0,45.0,0.0,0.0,7.0,8.0,0.0,
9,7907,0.0,13.0,0.0,0.0,39.0,49.0,25.0,10.0,52.0,33.0,55.0,33.0,25.0,20.0,0.0,0.0,
0,7907,0.0,0.0,8.0,0.0,56.0,52.0,40.0,52.0,34.0,35.0,33.0,55.0,0.0,0.0,10.0,0.0,
7,7907,0.0,8.0,0.0,0.0,42.0,11.0,29.0,34.0,50.0,41.0,46.0,9.0,0.0,0.0,9.0,0.0,
7,7940,0.0,0.0,0.0,0.0,22.0,0.0,15.0,21.0,47.0,26.0,51.0,20.0,25.0,21.0,8.0,0.0,
9,7940,0.0,9.0,0.0,0.0,53.0,43.0,0.0,52.0,39.0,60.0,33.0,43.0,0.0,0.0,11.0,10.0,
4,7940,0.0,0.0,12.0,0.0,0.0,38.0,62.0,0.0,52.0,28.0,57.0,53.0,0.0,0.0,15.0,0.0,
0,7940,0.0,9.0,10.0,0.0,39.0,27.0,27.0,52.0,44.0,20.0,28.0,39.0,0.0,12.0,11.0,0.0,
7,7943,0.0,0.0,0.0,0.0,41.0,0.0,44.0,43.0,60.0,47.0,43.0,0.0,26.0,9.0,8.0,0.0,
9,7943,0.0,0.0,0.0,0.0,30.0,49.0,0.0,42.0,50.0,54.0,34.0,42.0,9.0,7.0,0.0,0.0,
4,7943,0.0,7.0,12.0,0.0,33.0,41.0,49.0,19.0,17.0,0.0,53.0,31.0,0.0,6.0,9.0,0.0,
3,7943,0.0,0.0,0.0,0.0,53.0,24.0,19.0,45.0,59.0,45.0,55.0,49.0,0.0,0.0,6.0,0.0,
7,7967,0.0,0.0,0.0,0.0,36.0,0.0,44.0,35.0,56.0,46.0,53.0,7.0,19.0,0.0,11.0,0.0,
9,7967,0.0,0.0,0.0,0.0,51.0,42.0,0.0,48.0,28.0,58.0,27.0,52.0,0.0,0.0,11.0,17.0,
6,7967,0.0,0.0,0.0,0.0,31.0,46.0,55.0,28.0,20.0,0.0,43.0,47.0,0.0,0.0,0.0,6.0,
7,7967,0.0,0.0,0.0,0.0,35.0,0.0,49.0,34.0,58.0,35.0,55.0,9.0,10.0,0.0,0.0,0.0,
7,7992,0.0,0.0,0.0,0.0,50.0,0.0,33.0,42.0,64.0,46.0,49.0,0.0,17.0,7.0,11.0,0.0,
9,7992,0.0,0.0,0.0,0.0,43.0,43.0,0.0,37.0,31.0,46.0,27.0,44.0,0.0,0.0,6.0,0.0,
9,7992,0.0,0.0,0.0,0.0,56.0,35.0,0.0,27.0,47.0,53.0,21.0,47.0,0.0,8.0,11.0,6.0,
2,7992,7.0,6.0,0.0,0.0,56.0,21.0,36.0,61.0,30.0,29.0,17.0,60.0,0.0,0.0,0.0,9.0,
8,8011,0.0,0.0,0.0,0.0,52.0,48.0,62.0,56.0,47.0,30.0,9.0,6.0,0.0,0.0,0.0,0.0,
0,8011,0.0,10.0,0.0,0.0,50.0,55.0,29.0,38.0,19.0,39.0,14.0,59.0,0.0,0.0,24.0,25.0,
1,8011,0.0,0.0,0.0,0.0,50.0,53.0,60.0,52.0,39.0,36.0,32.0,33.0,0.0,0.0,0.0,0.0,
1,8011,0.0,0.0,0.0,0.0,34.0,38.0,49.0,30.0,49.0,64.0,62.0,47.0,0.0,7.0,0.0,0.0,
8,8014,0.0,0.0,0.0,0.0,47.0,53.0,46.0,47.0,47.0,51.0,44.0,45.0,0.0,0.0,10.0,0.0,
0,8014,0.0,7.0,6.0,0.0,40.0,37.0,26.0,37.0,28.0,17.0,8.0,50.0,0.0,6.0,19.0,14.0,
1,8014,0.0,0.0,0.0,0.0,32.0,40.0,48.0,37.0,33.0,29.0,24.0,35.0,0.0,0.0,0.0,0.0,
4,8014,0.0,12.0,0.0,0.0,42.0,48.0,36.0,32.0,12.0,35.0,44.0,20.0,0.0,26.0,0.0,0.0,
8,8038,0.0,0.0,0.0,0.0,48.0,59.0,48.0,44.0,46.0,52.0,47.0,58.0,0.0,0.0,0.0,0.0,
0,8038,0.0,6.0,9.0,0.0,46.0,34.0,35.0,44.0,35.0,31.0,23.0,48.0,0.0,11.0,15.0,0.0,
3,8038,0.0,0.0,0.0,0.0,44.0,0.0,0.0,36.0,41.0,42.0,35.0,45.0,0.0,0.0,18.0,13.0,
8,8038,0.0,0.0,0.0,0.0,62.0,54.0,50.0,48.0,45.0,48.0,41.0,55.0,0.0,0.0,0.0,0.0,
8,8059,0.0,8.0,0.0,0.0,39.0,38.0,43.0,39.0,43.0,39.0,41.0,44.0,0.0,0.0,6.0,8.0,
0,8059,0.0,16.0,12.0,0.0,55.0,38.0,25.0,54.0,34.0,32.0,24.0,50.0,0.0,11.0,10.0,0.0,
5,8059,0.0,0.0,0.0,0.0,48.0,51.0,0.0,47.0,36.0,32.0,32.0,38.0,0.0,0.0,6.0,0.0,
9,8059,0.0,0.0,0.0,0.0,48.0,40.0,0.0,46.0,36.0,57.0,14.0,40.0,0.0,6.0,20.0,30.0,
8,8060,0.0,9.0,0.0,0.0,37.0,39.0,34.0,30.0,46.0,34.0,28.0,42.0,0.0,0.0,0.0,0.0,
0,8060,0.0,6.0,10.0,0.0,40.0,31.0,18.0,36.0,47.0,27.0,25.0,50.0,0.0,10.0,13.0,0.0,
6,8060,0.0,0.0,0.0,0.0,28.0,38.0,55.0,26.0,23.0,0.0,38.0,49.0,0.0,0.0,0.0,12.0,
0,8060,0.0,0.0,0.0,0.0,16.0,40.0,52.0,18.0,48.0,37.0,55.0,51.0,0.0,8.0,0.0,0.0,
8,8064,0.0,0.0,0.0,0.0,45.0,51.0,45.0,54.0,26.0,42.0,47.0,48.0,0.0,0.0,0.0,0.0,
0,8064,0.0,6.0,10.0,0.0,42.0,36.0,28.0,42.0,26.0,32.0,17.0,51.0,0.0,11.0,15.0,0.0,
6,8064,0.0,0.0,0.0,0.0,33.0,46.0,58.0,32.0,18.0,0.0,34.0,40.0,0.0,0.0,7.0,6.0,
4,8064,0.0,0.0,14.0,0.0,18.0,32.0,56.0,16.0,26.0,29.0,54.0,43.0,0.0,13.0,0.0,0.0,
8,8076,0.0,0.0,0.0,0.0,28.0,41.0,41.0,42.0,35.0,43.0,32.0,50.0,0.0,0.0,0.0,0.0,
0,8076,0.0,16.0,8.0,0.0,48.0,40.0,30.0,38.0,31.0,29.0,17.0,50.0,0.0,7.0,18.0,6.0,
7,8076,8.0,0.0,0.0,0.0,55.0,22.0,60.0,51.0,49.0,52.0,39.0,0.0,0.0,0.0,13.0,0.0,
6,8076,0.0,6.0,0.0,0.0,35.0,52.0,35.0,27.0,27.0,13.0,32.0,44.0,0.0,0.0,14.0,11.0,
8,8159,0.0,10.0,0.0,0.0,44.0,49.0,50.0,48.0,43.0,47.0,35.0,47.0,6.0,6.0,7.0,6.0,
1,8159,0.0,19.0,0.0,0.0,11.0,56.0,21.0,6.0,52.0,43.0,40.0,45.0,0.0,0.0,0.0,0.0,
5,8159,0.0,0.0,0.0,0.0,60.0,47.0,31.0,59.0,38.0,6.0,16.0,19.0,0.0,0.0,0.0,0.0,
9,8159,0.0,12.0,0.0,0.0,31.0,46.0,28.0,17.0,51.0,42.0,56.0,31.0,17.0,21.0,6.0,0.0,
8,8182,0.0,9.0,0.0,0.0,46.0,56.0,52.0,58.0,26.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,8182,0.0,0.0,0.0,0.0,50.0,54.0,57.0,50.0,52.0,45.0,53.0,41.0,0.0,0.0,0.0,0.0,
8,8182,0.0,0.0,0.0,0.0,56.0,61.0,53.0,50.0,27.0,60.0,39.0,58.0,0.0,0.0,0.0,0.0,
2,8182,0.0,0.0,0.0,0.0,45.0,16.0,29.0,43.0,26.0,31.0,13.0,42.0,0.0,0.0,0.0,7.0,
8,8203,0.0,6.0,0.0,0.0,46.0,48.0,44.0,50.0,52.0,40.0,36.0,55.0,9.0,10.0,0.0,0.0,
2,8203,0.0,8.0,0.0,0.0,62.0,16.0,33.0,62.0,24.0,34.0,18.0,64.0,0.0,0.0,0.0,16.0,
0,8203,0.0,9.0,10.0,0.0,49.0,51.0,19.0,47.0,40.0,15.0,14.0,53.0,0.0,13.0,16.0,0.0,
3,8203,0.0,0.0,0.0,0.0,40.0,11.0,0.0,31.0,55.0,45.0,43.0,50.0,0.0,0.0,0.0,0.0,
8,8204,0.0,9.0,0.0,0.0,39.0,35.0,47.0,36.0,42.0,33.0,18.0,43.0,7.0,0.0,0.0,0.0,
2,8204,9.0,0.0,0.0,0.0,64.0,26.0,41.0,63.0,12.0,31.0,17.0,64.0,0.0,0.0,0.0,29.0,
0,8204,0.0,12.0,10.0,0.0,50.0,31.0,28.0,47.0,34.0,29.0,25.0,45.0,0.0,9.0,18.0,0.0,
4,8204,0.0,0.0,6.0,0.0,16.0,41.0,45.0,0.0,27.0,25.0,57.0,31.0,0.0,9.0,6.0,0.0,
8,8205,0.0,0.0,0.0,0.0,40.0,49.0,48.0,33.0,18.0,41.0,24.0,34.0,0.0,8.0,0.0,0.0,
2,8205,10.0,14.0,0.0,0.0,62.0,12.0,17.0,61.0,24.0,47.0,31.0,56.0,0.0,0.0,0.0,21.0,
0,8205,0.0,11.0,9.0,0.0,56.0,30.0,35.0,53.0,45.0,30.0,43.0,48.0,0.0,7.0,17.0,0.0,
5,8205,0.0,10.0,0.0,0.0,47.0,54.0,8.0,35.0,45.0,24.0,34.0,53.0,0.0,0.0,15.0,0.0,
8,8266,0.0,0.0,7.0,0.0,40.0,46.0,28.0,32.0,44.0,28.0,27.0,36.0,0.0,0.0,0.0,10.0,
2,8266,0.0,0.0,0.0,7.0,54.0,17.0,49.0,53.0,49.0,49.0,10.0,40.0,0.0,0.0,0.0,23.0,
6,8266,0.0,0.0,0.0,0.0,31.0,47.0,52.0,27.0,24.0,0.0,48.0,47.0,0.0,0.0,7.0,35.0,
6,8266,0.0,0.0,0.0,0.0,23.0,45.0,56.0,27.0,45.0,12.0,50.0,64.0,0.0,0.0,25.0,35.0,
8,8280,0.0,9.0,0.0,0.0,38.0,57.0,55.0,36.0,54.0,47.0,23.0,32.0,17.0,9.0,0.0,0.0,
2,8280,0.0,18.0,0.0,0.0,58.0,43.0,33.0,49.0,11.0,21.0,8.0,48.0,0.0,0.0,0.0,10.0,
8,8280,0.0,0.0,0.0,0.0,49.0,50.0,47.0,46.0,47.0,42.0,44.0,48.0,0.0,11.0,0.0,0.0,
0,8280,0.0,15.0,12.0,0.0,49.0,39.0,40.0,49.0,46.0,21.0,24.0,59.0,0.0,10.0,18.0,6.0,
8,8343,0.0,0.0,0.0,0.0,55.0,53.0,51.0,53.0,27.0,42.0,48.0,54.0,0.0,0.0,8.0,18.0,
3,8343,7.0,0.0,0.0,0.0,55.0,19.0,15.0,44.0,35.0,39.0,48.0,48.0,0.0,0.0,8.0,12.0,
4,8343,0.0,0.0,15.0,0.0,7.0,48.0,40.0,0.0,49.0,38.0,58.0,46.0,0.0,11.0,10.0,0.0,
3,8343,7.0,0.0,0.0,0.0,51.0,24.0,12.0,50.0,47.0,36.0,50.0,52.0,0.0,0.0,7.0,6.0,
8,8350,8.0,7.0,0.0,7.0,55.0,40.0,49.0,50.0,14.0,19.0,37.0,33.0,0.0,6.0,0.0,0.0,
3,8350,0.0,0.0,0.0,9.0,56.0,19.0,0.0,46.0,46.0,49.0,36.0,45.0,0.0,0.0,11.0,0.0,
5,8350,0.0,0.0,0.0,0.0,56.0,62.0,19.0,38.0,49.0,19.0,48.0,56.0,0.0,0.0,0.0,0.0,
0,8350,0.0,8.0,6.0,0.0,50.0,39.0,38.0,44.0,40.0,36.0,24.0,50.0,0.0,0.0,13.0,0.0,
8,8384,0.0,0.0,0.0,0.0,50.0,55.0,52.0,54.0,52.0,51.0,43.0,41.0,6.0,12.0,0.0,0.0,
3,8384,0.0,0.0,0.0,0.0,36.0,19.0,8.0,30.0,55.0,35.0,39.0,43.0,0.0,0.0,0.0,0.0,
8,8384,8.0,14.0,0.0,0.0,47.0,32.0,54.0,61.0,24.0,11.0,45.0,32.0,0.0,0.0,8.0,0.0,
4,8384,0.0,7.0,12.0,0.0,35.0,51.0,50.0,25.0,19.0,25.0,54.0,31.0,0.0,10.0,0.0,0.0,
8,8386,0.0,0.0,0.0,0.0,57.0,48.0,45.0,60.0,47.0,45.0,22.0,12.0,0.0,0.0,0.0,0.0,
3,8386,6.0,0.0,0.0,12.0,55.0,46.0,0.0,39.0,45.0,47.0,41.0,50.0,0.0,0.0,15.0,10.0,
8,8386,0.0,0.0,0.0,0.0,45.0,45.0,48.0,53.0,36.0,50.0,29.0,16.0,0.0,0.0,0.0,0.0,
6,8386,0.0,7.0,0.0,0.0,36.0,41.0,61.0,41.0,0.0,0.0,51.0,60.0,0.0,0.0,9.0,9.0,
8,8395,0.0,0.0,0.0,0.0,53.0,37.0,41.0,56.0,49.0,39.0,26.0,22.0,0.0,0.0,0.0,0.0,
3,8395,0.0,0.0,0.0,0.0,43.0,15.0,0.0,33.0,52.0,54.0,41.0,46.0,0.0,0.0,11.0,25.0,
9,8395,0.0,0.0,0.0,0.0,50.0,31.0,7.0,31.0,14.0,47.0,27.0,45.0,0.0,0.0,15.0,18.0,
5,8395,0.0,0.0,0.0,0.0,61.0,53.0,0.0,47.0,35.0,17.0,35.0,58.0,0.0,0.0,15.0,19.0,
8,8398,0.0,0.0,0.0,12.0,39.0,43.0,37.0,43.0,36.0,30.0,41.0,47.0,11.0,0.0,0.0,0.0,
3,8398,6.0,8.0,0.0,0.0,48.0,13.0,0.0,31.0,58.0,50.0,54.0,32.0,0.0,0.0,0.0,0.0,
9,8398,0.0,0.0,0.0,0.0,21.0,64.0,18.0,0.0,62.0,63.0,50.0,45.0,21.0,13.0,0.0,0.0,
8,8398,0.0,0.0,0.0,8.0,36.0,36.0,28.0,41.0,31.0,27.0,36.0,38.0,0.0,0.0,6.0,9.0,
8,8424,11.0,0.0,0.0,0.0,48.0,37.0,36.0,46.0,48.0,52.0,46.0,52.0,0.0,0.0,0.0,0.0,
4,8424,0.0,0.0,7.0,0.0,11.0,38.0,44.0,0.0,32.0,21.0,53.0,32.0,0.0,15.0,7.0,0.0,
2,8424,10.0,8.0,0.0,0.0,54.0,6.0,11.0,52.0,33.0,33.0,40.0,60.0,0.0,0.0,0.0,14.0,
4,8424,0.0,0.0,22.0,0.0,27.0,33.0,46.0,23.0,12.0,25.0,52.0,18.0,14.0,8.0,0.0,0.0,
8,8428,0.0,17.0,0.0,0.0,49.0,32.0,59.0,57.0,32.0,48.0,29.0,31.0,0.0,0.0,0.0,0.0,
4,8428,0.0,0.0,8.0,0.0,27.0,54.0,40.0,20.0,46.0,49.0,51.0,21.0,16.0,15.0,7.0,0.0,
2,8428,0.0,13.0,0.0,0.0,50.0,15.0,17.0,44.0,33.0,45.0,41.0,46.0,0.0,0.0,0.0,11.0,
8,8428,0.0,0.0,0.0,0.0,44.0,49.0,48.0,48.0,45.0,42.0,49.0,44.0,0.0,15.0,0.0,0.0,
8,8432,10.0,14.0,0.0,0.0,42.0,45.0,38.0,42.0,32.0,45.0,15.0,39.0,0.0,0.0,20.0,0.0,
4,8432,0.0,0.0,26.0,0.0,42.0,52.0,48.0,42.0,14.0,24.0,58.0,24.0,0.0,9.0,0.0,0.0,
3,8432,7.0,0.0,0.0,6.0,51.0,30.0,10.0,40.0,50.0,41.0,45.0,43.0,0.0,0.0,9.0,0.0,
2,8432,0.0,0.0,0.0,0.0,56.0,60.0,22.0,58.0,0.0,22.0,16.0,40.0,0.0,0.0,0.0,0.0,
8,8481,6.0,17.0,0.0,0.0,46.0,37.0,59.0,54.0,56.0,37.0,12.0,35.0,0.0,0.0,0.0,0.0,
4,8481,0.0,0.0,26.0,0.0,19.0,44.0,52.0,27.0,34.0,9.0,50.0,48.0,0.0,6.0,12.0,0.0,
8,8481,0.0,0.0,0.0,0.0,43.0,35.0,38.0,45.0,38.0,30.0,32.0,34.0,0.0,0.0,0.0,0.0,
1,8481,0.0,0.0,0.0,0.0,34.0,58.0,44.0,28.0,44.0,44.0,42.0,64.0,0.0,0.0,0.0,14.0,
8,8493,10.0,7.0,0.0,0.0,52.0,47.0,53.0,58.0,42.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,
4,8493,0.0,10.0,7.0,0.0,35.0,52.0,40.0,26.0,22.0,47.0,43.0,15.0,21.0,26.0,0.0,0.0,
9,8493,0.0,0.0,0.0,0.0,33.0,45.0,0.0,21.0,36.0,50.0,17.0,41.0,0.0,6.0,13.0,0.0,
3,8493,0.0,0.0,0.0,0.0,45.0,14.0,17.0,38.0,50.0,33.0,45.0,41.0,0.0,0.0,0.0,0.0,
8,8503,0.0,0.0,0.0,0.0,47.0,53.0,32.0,48.0,42.0,53.0,47.0,53.0,0.0,9.0,0.0,0.0,
