,label,number_of_holes,area,radius,contour,hull_radius,weight4_1,weight0_2,weight1_2,weight2_2,weight3_2,weight4_2,weight5_2,weight6_2,weight7_2,weight2_3,weight3_3,weight4_3,weight5_3,weight7_3,weight2_4,weight3_4,weight4_4,weight5_4,weight7_4,weight0_5,weight1_5,weight2_5,weight3_5,weight4_5,weight5_5,weight6_5,weight7_5,weight3_6,weight4_6,weight5_6,weight6_6,weight7_6
10,2,0.0,237.0,10.5687637607,47.0,14.556174937,0.0,7.0,16.0,16.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,16.0,6.0,8.0,15.0,15.0,16.0,0.0,11.0,16.0,11.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
11,7,0.0,186.0,10.0420647296,50.0,14.3411955666,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,14.0,6.0,16.0,8.0,0.0,11.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
12,7,0.0,219.5,9.2977176671,38.0,14.0393995961,0.0,16.0,0.0,0.0,0.0,16.0,13.0,14.0,16.0,0.0,10.0,16.0,15.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
13,6,0.0,270.0,11.6004881986,34.0,14.2678930365,0.0,0.0,9.0,14.0,14.0,13.0,16.0,11.0,0.0,6.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,15.0,16.0,16.0,0.0,0.0,0.0,15.0,16.0
14,3,0.0,229.0,10.4145197232,39.0,13.1553244941,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,15.0,16.0,14.0,0.0,0.0,16.0,7.0,15.0,16.0,16.0,16.0,16.0,16.0,8.0,0.0,12.0,16.0,8.0,0.0
15,1,0.0,297.0,11.3747845281,32.0,13.3225610577,0.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,16.0,16.0,15.0,14.0,12.0,16.0,16.0,16.0,16.0,8.0,0.0,9.0,12.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,7,0.0,239.5,9.67955175902,47.0,13.3852590127,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,0.0,0.0,12.0,16.0,0.0,16.0,12.0,8.0,12.0,16.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
17,6,0.0,224.0,10.1509518877,59.0,13.3059186393,0.0,0.0,11.0,16.0,16.0,16.0,16.0,13.0,0.0,0.0,13.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,16.0,0.0,0.0,10.0,13.0,8.0
18,6,1.0,334.5,11.6633380289,40.0,12.8060141962,8.0,6.0,11.0,16.0,16.0,16.0,16.0,15.0,0.0,0.0,13.0,10.0,0.0,16.0,0.0,14.0,7.0,0.0,16.0,0.0,0.0,0.0,6.0,16.0,9.0,10.0,16.0,0.0,0.0,10.0,12.0,0.0
19,6,1.0,303.5,11.487310199,40.0,13.5252495675,0.0,0.0,11.0,16.0,16.0,16.0,16.0,8.0,0.0,0.0,7.0,16.0,8.0,14.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,7.0,7.0,16.0,0.0,0.0,12.0,16.0,9.0
20,7,0.0,248.5,9.79046208014,54.0,14.1029984068,0.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,16.0,13.0,14.0,0.0,10.0,16.0,13.0,0.0,16.0,14.0,15.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
21,6,0.0,319.0,11.1300710905,42.0,12.9738173186,0.0,0.0,0.0,10.0,14.0,16.0,14.0,10.0,0.0,16.0,13.0,16.0,16.0,11.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,0.0,11.0,13.0,0.0
22,8,1.0,355.5,10.8877415936,38.0,12.5569191851,0.0,0.0,11.0,16.0,13.0,0.0,7.0,0.0,0.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,16.0,0.0,16.0,6.0,12.0,13.0,12.0,15.0,16.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0
23,0,1.0,493.0,12.6841719218,30.0,13.249266701,8.0,13.0,16.0,14.0,12.0,12.0,13.0,16.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,9.0,15.0,8.0,0.0,0.0,13.0,14.0,10.0,12.0,12.0,9.0,0.0
24,7,0.0,254.5,9.37061222027,45.0,16.0364059538,0.0,14.0,15.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,7.0,16.0,16.0,0.0,13.0,15.0,10.0,0.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,6,1.0,359.5,11.5238195493,38.0,13.1797426764,0.0,0.0,8.0,12.0,15.0,16.0,16.0,10.0,0.0,14.0,15.0,14.0,8.0,14.0,0.0,12.0,12.0,0.0,16.0,6.0,6.0,0.0,8.0,15.0,12.0,16.0,16.0,0.0,9.0,14.0,11.0,0.0
26,9,1.0,369.5,11.4172138583,45.0,13.8177796153,0.0,9.0,16.0,12.0,15.0,0.0,0.0,11.0,12.0,0.0,12.0,8.0,0.0,16.0,0.0,16.0,0.0,0.0,16.0,0.0,15.0,16.0,16.0,13.0,12.0,16.0,11.0,7.0,8.0,12.0,8.0,0.0
27,8,1.0,371.5,10.7065038339,38.0,13.6205775362,0.0,9.0,15.0,14.0,14.0,9.0,16.0,16.0,10.0,0.0,16.0,16.0,16.0,16.0,10.0,16.0,14.0,12.0,16.0,0.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7,0.0,257.5,9.81620798102,50.0,13.3758198187,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,16.0,16.0,16.0,16.0,15.0,0.0,10.0,13.0,15.0,16.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
29,7,0.0,303.0,9.78644295724,44.0,14.1061826578,0.0,11.0,14.0,0.0,0.0,16.0,7.0,7.0,12.0,0.0,13.0,16.0,16.0,16.0,6.0,16.0,15.0,7.0,0.0,16.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
30,0,1.0,472.0,13.1175896315,28.0,13.5479724606,8.0,7.0,16.0,15.0,10.0,9.0,14.0,16.0,9.0,11.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,7.0,16.0,13.0,8.0,8.0,15.0,13.0,0.0,8.0,8.0,0.0,0.0,0.0
31,0,1.0,457.5,12.6173741502,37.0,12.9160213833,0.0,0.0,16.0,9.0,8.0,8.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,8.0,14.0,12.0,6.0,0.0,7.0,16.0,8.0,7.0,8.0,7.0,0.0,0.0
32,7,0.0,245.5,8.96340169888,44.0,13.7623187709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,16.0,14.0,15.0,16.0,11.0,16.0,14.0,8.0,0.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
33,7,0.0,279.0,9.19321301837,52.0,14.2048723146,0.0,10.0,0.0,0.0,9.0,16.0,0.0,10.0,12.0,0.0,12.0,16.0,16.0,12.0,10.0,16.0,16.0,0.0,0.0,16.0,16.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,1.0,468.0,12.7606409697,30.0,13.2074102342,0.0,6.0,16.0,7.0,0.0,10.0,16.0,13.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,8.0,16.0,0.0,16.0,14.0,0.0,0.0,14.0,16.0,13.0,8.0,8.0,8.0,0.0,0.0
35,7,0.0,268.0,9.48956319383,47.0,13.1597215419,9.0,0.0,9.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,9.0,16.0,16.0,16.0,14.0,16.0,16.0,11.0,0.0,10.0,14.0,10.0,13.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
36,7,0.0,275.0,10.133806466,48.0,13.3738539645,0.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,6.0,0.0,8.0,16.0,14.0,16.0,8.0,13.0,16.0,15.0,6.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0
37,7,0.0,257.0,9.57411325366,51.0,13.840354633,0.0,6.0,0.0,0.0,0.0,10.0,6.0,0.0,7.0,0.0,0.0,16.0,16.0,16.0,10.0,16.0,16.0,14.0,0.0,16.0,16.0,14.0,10.0,16.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
38,1,0.0,315.0,11.936854355,34.0,12.8448374282,0.0,0.0,10.0,9.0,8.0,12.0,16.0,12.0,0.0,16.0,16.0,16.0,16.0,7.0,16.0,16.0,16.0,16.0,12.0,0.0,0.0,8.0,8.0,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,2.0,427.0,11.4660401302,37.0,14.6228822116,0.0,9.0,16.0,16.0,12.0,0.0,13.0,16.0,13.0,0.0,16.0,16.0,7.0,16.0,10.0,16.0,16.0,8.0,16.0,16.0,16.0,15.0,0.0,9.0,16.0,16.0,9.0,0.0,0.0,0.0,6.0,0.0
40,7,0.0,256.5,10.7545667382,37.0,13.5841452095,0.0,16.0,11.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,15.0,16.0,16.0,7.0,16.0,16.0,16.0,12.0,0.0,0.0,8.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
41,7,0.0,215.0,9.50105892128,45.0,12.9454858211,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,14.0,12.0,8.0,0.0,16.0,16.0,8.0,0.0,8.0,16.0,12.0,14.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
42,2,0.0,217.0,9.9290445041,46.0,15.0435517215,0.0,6.0,11.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,6.0,15.0,16.0,0.0,12.0,15.0,0.0,16.0,0.0,13.0,13.0,7.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,12.0
43,8,2.0,382.0,10.3998786763,39.0,14.1951969006,0.0,11.0,16.0,16.0,7.0,9.0,15.0,14.0,9.0,12.0,16.0,16.0,6.0,16.0,0.0,16.0,16.0,11.0,16.0,9.0,12.0,10.0,15.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7,0.0,234.5,9.85997137962,45.0,14.7789564844,0.0,12.0,0.0,0.0,9.0,0.0,0.0,6.0,10.0,0.0,16.0,14.0,14.0,12.0,8.0,16.0,14.0,0.0,0.0,16.0,16.0,16.0,16.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
45,7,1.0,290.0,10.8985526561,40.0,12.4637526775,0.0,0.0,12.0,11.0,6.0,16.0,0.0,0.0,6.0,0.0,0.0,16.0,13.0,10.0,7.0,13.0,16.0,10.0,0.0,0.0,16.0,13.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5,0.0,280.5,10.2044074247,50.0,14.1016452985,8.0,11.0,16.0,16.0,16.0,15.0,0.0,0.0,10.0,7.0,16.0,14.0,10.0,14.0,0.0,10.0,16.0,12.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,9,1.0,310.0,10.1615423599,49.0,11.9230558196,0.0,0.0,13.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,8.0,16.0,0.0,12.0,8.0,14.0,14.0,15.0,16.0,14.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
48,7,0.0,223.0,9.83649315433,54.0,13.2699468783,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,9.0,16.0,13.0,15.0,0.0,16.0,16.0,16.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,7,0.0,275.5,9.83074914643,46.0,13.2699182819,0.0,6.0,15.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,8.0,16.0,13.0,14.0,13.0,14.0,16.0,16.0,0.0,10.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
50,7,0.0,269.5,10.1608292752,43.0,12.6768416644,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,9.0,16.0,12.0,14.0,16.0,16.0,0.0,11.0,16.0,16.0,16.0,15.0,10.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0
51,0,0.0,290.5,11.3411883837,60.0,13.5140259336,0.0,9.0,16.0,14.0,12.0,13.0,16.0,16.0,9.0,0.0,0.0,0.0,8.0,16.0,7.0,0.0,0.0,8.0,13.0,8.0,16.0,16.0,13.0,12.0,15.0,16.0,0.0,7.0,8.0,7.0,0.0,0.0
52,7,0.0,217.5,9.87154330785,54.0,13.5979121828,0.0,12.0,7.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,6.0,16.0,16.0,6.0,0.0,13.0,15.0,6.0,0.0,16.0,16.0,15.0,14.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
53,7,0.0,255.5,9.58790345808,43.0,15.2813815512,0.0,16.0,8.0,0.0,0.0,12.0,0.0,9.0,16.0,0.0,7.0,16.0,16.0,10.0,7.0,14.0,14.0,0.0,0.0,16.0,16.0,15.0,14.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
54,7,0.0,247.5,9.47375074881,55.0,13.4776921509,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,11.0,16.0,9.0,11.0,6.0,15.0,16.0,15.0,0.0,16.0,16.0,16.0,16.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
55,7,0.0,311.0,10.725681937,43.0,13.1148673557,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,6.0,7.0,16.0,14.0,8.0,14.0,16.0,16.0,16.0,16.0,0.0,10.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
56,7,0.0,293.5,9.47258033068,50.0,13.8355737055,7.0,0.0,16.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,0.0,14.0,16.0,12.0,6.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
57,7,0.0,278.5,9.99176120844,47.0,14.8399676565,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,16.0,13.0,16.0,0.0,14.0,16.0,15.0,0.0,16.0,14.0,15.0,16.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
58,7,0.0,248.5,10.2025002123,44.0,13.5742497738,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,12.0,14.0,9.0,14.0,0.0,13.0,16.0,14.0,0.0,16.0,15.0,13.0,16.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
59,9,1.0,292.5,11.1845990841,42.0,12.6261930997,0.0,0.0,16.0,16.0,15.0,0.0,0.0,0.0,0.0,12.0,16.0,8.0,0.0,12.0,10.0,16.0,8.0,0.0,0.0,12.0,16.0,14.0,14.0,16.0,16.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0
60,7,0.0,255.5,10.2410706111,43.0,15.384686638,0.0,16.0,12.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,7.0,15.0,14.0,11.0,16.0,16.0,9.0,0.0,16.0,16.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8,1.0,346.0,10.9504429212,35.0,14.4093809525,0.0,0.0,13.0,0.0,0.0,0.0,9.0,16.0,0.0,15.0,0.0,9.0,16.0,16.0,10.0,16.0,16.0,8.0,16.0,0.0,15.0,16.0,15.0,13.0,15.0,14.0,16.0,0.0,0.0,0.0,8.0,0.0
62,1,0.0,227.0,9.4537340256,39.0,13.4944026209,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,11.0,14.0,14.0,12.0,9.0,0.0,7.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0
63,7,0.0,241.5,8.80178304433,47.0,13.336719469,0.0,14.0,16.0,16.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,10.0,15.0,14.0,12.0,15.0,14.0,0.0,0.0,12.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,7,0.0,210.5,9.61815211311,55.0,13.8260064123,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,16.0,0.0,9.0,16.0,11.0,0.0,9.0,16.0,13.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8,0.0,370.0,10.5722009246,32.0,13.3199335611,0.0,0.0,13.0,16.0,16.0,13.0,12.0,13.0,0.0,16.0,16.0,16.0,14.0,16.0,16.0,14.0,13.0,15.0,16.0,16.0,16.0,11.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
66,5,0.0,221.0,10.0583341875,39.0,13.8916374753,0.0,8.0,15.0,16.0,16.0,8.0,0.0,0.0,12.0,8.0,16.0,0.0,0.0,16.0,6.0,16.0,12.0,12.0,10.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,1.0,427.5,12.207022338,31.0,12.5096296393,0.0,0.0,11.0,15.0,12.0,14.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,6.0,15.0,16.0,13.0,12.0,13.0,16.0,8.0,0.0,8.0,0.0,0.0,0.0
68,7,0.0,286.0,9.73924564866,47.0,13.0015300174,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,12.0,12.0,0.0,0.0,16.0,16.0,12.0,16.0,15.0,12.0,15.0,16.0,11.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0
69,8,1.0,337.0,10.4389774986,50.0,13.0845007494,0.0,8.0,16.0,16.0,16.0,16.0,16.0,14.0,0.0,9.0,16.0,15.0,14.0,14.0,13.0,16.0,8.0,0.0,12.0,16.0,13.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8,1.0,384.5,10.8650873295,39.0,13.8630901702,7.0,0.0,6.0,9.0,11.0,16.0,16.0,11.0,0.0,13.0,16.0,16.0,16.0,14.0,6.0,15.0,12.0,16.0,16.0,16.0,14.0,15.0,0.0,0.0,9.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
71,2,0.0,317.0,9.62637125974,50.0,14.5668566632,0.0,11.0,16.0,13.0,8.0,0.0,12.0,16.0,11.0,10.0,10.0,16.0,16.0,16.0,16.0,16.0,10.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,14.0,14.0
72,7,0.0,243.0,10.0124189291,48.0,14.5116468172,0.0,10.0,9.0,0.0,6.0,9.0,0.0,0.0,8.0,0.0,11.0,16.0,16.0,14.0,7.0,15.0,16.0,8.0,0.0,16.0,16.0,15.0,13.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
73,9,0.0,326.5,10.8443372531,48.0,13.0731606751,0.0,0.0,8.0,15.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,8.0,16.0,8.0,16.0,16.0,16.0,16.0,16.0,12.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0
74,0,1.0,438.5,12.5290689571,32.0,13.0617641715,0.0,6.0,9.0,16.0,12.0,8.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,12.0,7.0,0.0,0.0,6.0,11.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0
75,2,0.0,193.5,9.57138718729,58.0,14.8133782828,0.0,9.0,16.0,6.0,0.0,0.0,11.0,16.0,9.0,0.0,0.0,9.0,15.0,16.0,0.0,12.0,14.0,0.0,16.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0
76,7,0.0,346.0,11.0019611424,48.0,12.9845020376,0.0,9.0,16.0,8.0,10.0,15.0,0.0,0.0,11.0,0.0,13.0,16.0,10.0,11.0,6.0,16.0,16.0,15.0,0.0,16.0,16.0,16.0,16.0,13.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
77,9,1.0,358.5,11.5589472046,45.0,12.5148381152,0.0,0.0,15.0,16.0,16.0,9.0,0.0,0.0,0.0,7.0,10.0,16.0,0.0,7.0,0.0,10.0,16.0,10.0,13.0,16.0,10.0,7.0,16.0,16.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
78,0,1.0,422.5,12.0614031546,30.0,12.9045960721,0.0,10.0,14.0,16.0,16.0,16.0,16.0,16.0,8.0,12.0,8.0,8.0,0.0,16.0,6.0,0.0,0.0,6.0,16.0,0.0,6.0,15.0,14.0,12.0,15.0,15.0,8.0,0.0,6.0,0.0,0.0,0.0
79,7,0.0,219.0,9.54747504164,53.0,13.3248261174,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,16.0,8.0,11.0,16.0,14.0,0.0,10.0,12.0,12.0,10.0,16.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
80,7,0.0,189.5,10.0339387219,47.0,13.9827024915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,15.0,0.0,0.0,16.0,13.0,6.0,16.0,11.0,9.0,13.0,16.0,6.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0
81,9,1.0,329.5,10.9802237297,42.0,13.8310424621,0.0,12.0,16.0,12.0,15.0,0.0,0.0,12.0,12.0,0.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,8.0,0.0,11.0,12.0,16.0,16.0,13.0,15.0,8.0,0.0,0.0,7.0,9.0,0.0
82,4,0.0,263.5,9.71187889326,47.0,12.871452267,7.0,0.0,0.0,0.0,12.0,16.0,16.0,0.0,0.0,11.0,15.0,14.0,16.0,0.0,16.0,0.0,9.0,16.0,14.0,15.0,10.0,0.0,0.0,16.0,16.0,13.0,14.0,0.0,10.0,0.0,0.0,0.0
83,0,1.0,443.5,12.124706239,31.0,12.9489466381,7.0,0.0,13.0,14.0,12.0,12.0,15.0,16.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,13.0,10.0,14.0,12.0,8.0,10.0,16.0,11.0,0.0,8.0,7.0,0.0,0.0,0.0
84,7,0.0,258.5,9.69530564605,46.0,13.8421004302,0.0,9.0,6.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,16.0,16.0,16.0,0.0,13.0,16.0,11.0,0.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
